ID,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
1,K001,15K001,PS 1(BS),K001,309 47 STREET,K,15,1151,,1,PS 1(BS),0,2,1,1,0,6C,1001-1250,0.61,2.55,6.1,1.29,1.48
2,K002,17K002,Parkside Preparatory Academy,K002,655 PARKSIDE AVENUE,K,17,488,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
3,K002,75K141,P141(BS),K141,655 PARKSIDE AVENUE,K,17,350,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
4,K002,84K704,EXPLORE CHARTER SCHOOL(BS),K704,655 PARKSIDE AVENUE,K,17,529,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
5,K002,,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,,655 PARKSIDE AVENUE,K,17,1367,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,1,3,3,3,1,7C,1251-1500,0.65,2.79,6.71,1.48,1.47
6,K003,13K003,PS 3(BROOKLYN),K003,50 JEFFERSON AVENUE,K,13,336,,1,PS 3(BROOKLYN),0,0,2,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
7,K005,16K005,PS 5(BROOKLYN),K005,820 HANCOCK STREET,K,16,191,,1,PS 5(BROOKLYN),1,1,0,1,1,2C,1-250,0.25,0.88,1.69,0.57,0.45
8,K006,17K006,PS 6(BROOKLYN),K006,43 SNYDER AVENUE,K,17,681,,1,PS 6(BROOKLYN),0,0,2,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
9,K007,19K007,PS 7(BROOKLYN),K007,858 JAMAICA AVENUE,K,19,851,,1,PS 7(BROOKLYN),0,1,1,0,1,5C,751-1000,0.38,1.52,3.88,0.83,0.91
10,K008,13K008,PS 8(BROOKLYN),K008,37 HICKS STREET,K,13,907,,1,PS 8(BROOKLYN),0,0,1,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
11,K009,13K009,P.S. 009 Teunis G. Bergen,K009,80 UNDERHILL AVENUE,K,13,773,,1,P.S. 009 Teunis G. Bergen,0,0,0,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
12,K010,15K010,PS 10(BS),K010,511 SEVENTH AVENUE,K,15,921,,1,PS 10(BS),0,2,1,2,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
13,K011,13K011,PS 11(BN),K011,419 WAVERLY AVE,K,13,813,,1,PS 11(BN),0,0,1,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
